,Date,Time,Social media,Call centre,Branch,RHB Internet Banking,RHB Mobile Banking Application,Relationship managers / Personal Bankers,"ATM, Cash Deposit Machines",Feedback,Sentiment Score,Rating,Product
17,8/28/2020,14:10:40,No,No,No,No,Yes,No,Yes,improve mobile performance security app,50.00%,6,CASA
18,8/28/2020,14:37:22,No,No,No,Yes,Yes,No,Yes,relative friend using bank rhb bank chide open account rhb salary including rhb bank ok transfer increase asb saving via rhb bank asb simplify save time need spider turn number deal counter good view rhb bank okay,19.18%,8,CASA
19,8/28/2020,22:21:55,No,No,No,Yes,No,No,No,keep good service,95.49%,10,CASA
20,8/29/2020,8:11:32,No,No,No,Yes,No,No,No,,50.00%,10,CASA
21,8/29/2020,13:46:17,No,No,No,Yes,Yes,No,Yes,,,0,CASA
22,8/29/2020,21:45:56,No,No,No,Yes,Yes,Yes,Yes,added number machine atm example gas station,50.00%,10,CASA
23,8/30/2020,0:39:20,No,Yes,No,Yes,No,No,Yes,waiting long went call customer line,3.20%,9,CASA
24,8/27/2020,9:14:38,No,No,No,Yes,No,No,No,continue good service customer first,90.16%,10,Credit Card
25,8/27/2020,15:43:04,No,No,No,No,Yes,No,Yes,keep app user friendly speedy,68.59%,10,Credit Card
26,8/27/2020,15:58:00,No,No,No,Yes,Yes,No,No,better customer service,96.62%,8,Credit Card
27,8/27/2020,16:10:55,No,Yes,No,Yes,No,No,No,improve customer service,50.00%,6,Credit Card
28,8/27/2020,17:57:32,No,Yes,No,Yes,Yes,No,Yes,make promotion via email shopee lazada thank,85.09%,10,Credit Card
29,8/27/2020,18:49:09,No,No,No,Yes,No,No,No,standardize url promotion currently credit card promotion page separated saving account fd promotion etc put url grouped product type easier see,79.04%,8,Credit Card
30,8/27/2020,19:26:16,No,No,No,No,Yes,No,No,better cashback,98.97%,8,Credit Card
31,8/27/2020,20:49:54,No,Yes,No,No,No,No,No,low credit card rate delete year fee user year,50.00%,2,Credit Card
32,8/27/2020,21:07:56,No,Yes,No,Yes,No,Yes,No,internet banking improved,50.00%,9,Credit Card
33,8/27/2020,22:48:08,No,No,No,Yes,Yes,No,No,promotion goody credit custom card,50.00%,9,Credit Card
34,8/27/2020,23:31:18,No,Yes,No,No,No,No,No,love online banking hassle simple navigate oh please please remove auto expand left wing cursor move tab annoying sometimes mouse ur mouse type something auto expand window expand fast angry hehe happy customer,9.95%,9,Credit Card
35,8/28/2020,6:11:24,No,No,No,Yes,Yes,No,No,improve interbank fund transfer rhb apps,50.00%,10,Credit Card
36,8/28/2020,6:27:47,No,No,No,Yes,No,No,Yes,complaint service,50.00%,10,Credit Card
37,8/28/2020,9:30:42,No,Yes,No,No,No,No,No,overall satisfied sometimes wish atm around compared bank,50.00%,8,Credit Card
38,8/28/2020,9:41:15,No,No,No,Yes,No,No,No,offer flex installment plan convert transaction amount good interested rate,80.20%,8,Credit Card
39,8/28/2020,11:34:56,No,No,No,Yes,No,No,No,good service branch staff telephone customer service,97.52%,8,Credit Card
40,8/28/2020,12:34:10,No,Yes,No,No,No,No,No,nile,85.47%,8,Credit Card
41,8/28/2020,13:06:37,No,No,Yes,No,No,No,No,good service,92.33%,10,Credit Card
42,8/28/2020,14:54:10,No,No,No,Yes,Yes,No,No,improvise internet banking,96.31%,10,Credit Card
43,8/28/2020,19:48:51,No,No,No,Yes,No,No,No,always follow,88.16%,8,Credit Card
44,8/29/2020,11:06:06,No,Yes,No,No,No,No,No,bad system received statement every month system show sent solve problem know sm call chase payment,17.55%,6,Credit Card
45,8/30/2020,1:22:38,No,No,No,Yes,Yes,No,No,bigger point rebate using card somehow get point rebate,50.00%,0,Credit Card
46,8/27/2020,14:43:29,No,No,No,Yes,No,No,No,competitive rate funny thing everybody going ebanking would require customer go branch negotiate better rate look better optimize resource instead better,95.58%,2,FD
47,8/27/2020,14:48:22,No,No,No,Yes,No,No,No,normally put u everyone room improve maintain good service great tq,50.00%,9,FD
48,8/27/2020,15:06:06,No,No,Yes,No,No,No,No,waiting time counter quite long matter include pin conversion statement bank cashier customer service counter business ca rm statement bank expensive correctly expensive sbb ever pegi kuck kuching branch nak request statement tp x sbb statement date expensive sgt good cashier heart advice pegi print overseas wear online banking new xdpt near account sbb password problem whereas day still login using password x tau memg need change knapa told first byk lg actually unpredictable experience tp,50.00%,8,FD
49,8/27/2020,15:30:44,No,No,No,Yes,No,No,No,speed internet,50.00%,9,FD
50,8/27/2020,10:43:56,No,No,Yes,No,No,No,No,discussion fixed deposit another customer sitting table right banker ask person wait waiting area working task thanks,94.98%,9,FD
51,8/27/2020,16:51:25,No,No,Yes,Yes,No,No,No,special rate special account,97.21%,5,FD
52,8/27/2020,17:57:51,No,No,No,Yes,Yes,No,No,,,10,FD
53,8/27/2020,18:44:55,No,No,No,Yes,No,No,No,customer service call center,50.00%,2,FD
54,8/27/2020,21:39:44,No,No,No,Yes,No,No,No,higher interest rate,50.00%,8,FD
55,8/27/2020,22:04:12,No,No,Yes,No,No,No,No,internet banking app,10.05%,10,FD
56,8/28/2020,6:08:53,No,No,Yes,Yes,Yes,Yes,Yes,friendlier teller,50.00%,8,FD
57,8/28/2020,6:54:39,No,No,No,Yes,Yes,No,No,overhaul mobile app day way activate securepus feature desktop site asks scan qr code using scanner within mobile app yet scanner exist fix multiple bug smartphone version website option main absent menu absent smartphone version present opened computer,50.00%,6,FD
58,8/28/2020,7:27:10,No,No,No,Yes,Yes,No,Yes,fast secure internet banking,84.69%,9,FD
59,8/28/2020,7:45:26,No,No,Yes,No,No,No,No,staff helpful cheerful,91.41%,8,FD
60,8/28/2020,7:50:57,No,No,No,Yes,Yes,No,No,improve online banking layout,1.21%,8,FD
61,8/28/2020,8:37:32,No,No,No,Yes,No,No,No,fpx transfer use new rhb mobile app need download old version please improved new app,50.00%,8,FD
62,8/28/2020,8:55:54,No,No,No,Yes,No,No,No,nothing,95.85%,10,FD
63,8/28/2020,9:05:42,No,No,Yes,No,No,No,No,maintain higher service interest rate highly appreciate,13.57%,10,FD
64,8/28/2020,10:12:24,No,No,No,Yes,Yes,No,No,inform update new banking product announcement banking info customer thru website customer personal email upgrade rhb mobile banking app improve security user using response promptly customer enquiry efficient friendly customer service bank counter,15.95%,10,FD
65,8/28/2020,10:15:53,No,No,No,Yes,No,No,No,fd placement thru apps,50.00%,7,FD
66,8/28/2020,10:44:38,No,No,No,Yes,Yes,No,No,offer rewarding package placing fund fixed deposit make rhb online app easy fun use nice app link account make payment touch like qrpay,98.52%,9,FD
67,8/28/2020,12:15:35,No,No,No,Yes,No,No,No,,,9,FD
68,8/28/2020,14:24:56,No,No,Yes,No,No,No,No,better interest rate,96.48%,8,FD
69,8/28/2020,14:25:32,No,No,No,Yes,No,No,No,partnership retailer,50.00%,8,FD
70,8/28/2020,23:58:50,Yes,No,No,No,No,No,No,true customer centric transparent honest especially contacting customer loan credit payment least send sm inform interest charged customer pay unpretentiously pay compounded interest late payment sommission sbb simply byr desirable penalty interest notified continuously interest interest interest appropriate online banking system misleading inconvenient third staff provide service bukn looking shj profit p fd sy auto renew interaction need interact asik selling bank product tq igtkan withdraw rhb,50.00%,0,FD
71,8/29/2020,3:44:02,No,No,No,Yes,No,No,No,allow fd placed via mobile app,50.00%,8,FD
72,8/29/2020,16:37:54,No,No,No,Yes,Yes,No,No,comment,50.00%,9,FD
73,8/30/2020,7:34:19,Yes,No,No,Yes,Yes,No,No,better promotional fd rate especially existing premier bank customer otc better helpful interaction relationship manager even heard almost year sure even work rhb anymore atm around klang valley,86.57%,8,FD
74,8/31/2020,20:47:26,No,No,No,Yes,No,No,No,maintain improve rhb internet banking enjoy using internet banking convenient,90.69%,10,FD
75,8/27/2020,14:39:09,No,No,No,Yes,No,No,No,provide benefit customer competitive product,97.39%,10,Mortgage
76,8/27/2020,14:40:09,No,Yes,No,No,Yes,No,No,shorter response time sensitive letter sent developer vp,75.48%,6,Mortgage
77,8/27/2020,14:42:21,No,No,No,Yes,No,No,No,improve online banking user navigation,17.50%,10,Mortgage
78,8/27/2020,12:13:51,No,No,No,No,No,No,Yes,add good online application like maybank user friendly,98.51%,9,Mortgage
79,8/27/2020,14:51:44,No,No,Yes,Yes,No,No,Yes,provide housing loan facility customer regardless government private sector multiple branch example parliament,50.00%,10,Mortgage
80,8/27/2020,15:02:00,No,No,No,Yes,No,No,No,competitive rate attractive product improved user experience online mobile banking,99.33%,8,Mortgage
81,8/27/2020,15:30:28,No,No,No,No,Yes,No,No,rhb best u visit branch sign document,87.34%,9,Mortgage
82,8/27/2020,15:37:50,No,No,No,No,No,Yes,No,give courtesy call least year,98.79%,8,Mortgage
83,8/27/2020,16:07:18,No,No,No,Yes,No,No,No,please ignore customer go branch,69.68%,6,Mortgage
84,8/27/2020,16:30:58,No,Yes,No,No,No,No,Yes,lg lg branch atm cdm machine small district,50.00%,10,Mortgage
85,8/27/2020,16:53:00,No,No,No,No,No,No,Yes,friendly interface,88.85%,8,Mortgage
86,8/27/2020,17:33:20,Yes,No,No,No,No,No,No,complete,50.00%,10,Mortgage
87,8/27/2020,17:38:28,No,No,No,Yes,No,No,No,improve customer service,50.00%,4,Mortgage
88,8/27/2020,18:05:49,No,Yes,No,No,No,No,No,customer service,50.00%,10,Mortgage
89,8/27/2020,18:27:40,No,Yes,Yes,No,No,No,Yes,eliminate token system reflex service,50.00%,10,Mortgage
90,8/27/2020,18:38:20,No,Yes,Yes,Yes,Yes,No,No,revamp website upgrade app customer service personnel phone great ever issue need clarified deliver come website feel like going around circle something simple please page maybank revamp website make le cluttered much direct paying loan via logon rhb even today still find confusing go set auto debit payment set every year last rest calendar year please revamp website maybank much cleaner much direct allowing u banking addition please ensure professional atmosphere bank branch many time rhb bank branch see staff giggling talking behind counter slows queue wait longer perform whatever transaction perform,79.79%,7,Mortgage
91,8/27/2020,18:41:01,No,No,Yes,Yes,No,No,No,better interest rate rhbnow bit outdate user friendly ui,97.33%,7,Mortgage
92,8/27/2020,18:48:47,No,No,No,Yes,No,No,No,said online affair indeed facilitated,89.17%,10,Mortgage
93,8/27/2020,18:57:12,No,No,No,Yes,No,No,No,,,10,Mortgage
94,8/27/2020,18:57:34,No,No,No,Yes,Yes,No,No,improve upgrade rhb mobile bank application system meling interest banking,7.79%,10,Mortgage
95,8/27/2020,19:08:17,No,No,No,Yes,Yes,Yes,Yes,better service financial advisory relationship manager left nobody informed,93.68%,8,Mortgage
96,8/27/2020,19:10:11,No,Yes,Yes,No,No,No,Yes,customer satisfaction,50.00%,10,Mortgage
97,8/27/2020,22:12:52,No,Yes,No,No,No,No,Yes,always touch status payment,20.96%,9,Mortgage
98,8/27/2020,23:55:47,No,No,No,Yes,No,No,Yes,need staff manage various loan application easy contact increase rebate regular customer customer friendly mobile app,13.89%,7,Mortgage
99,8/28/2020,1:16:47,No,Yes,No,No,Yes,No,No,app interface could user friendly,83.50%,6,Mortgage
100,8/28/2020,7:22:26,No,No,No,Yes,No,No,No,preserving maintaining homormity well important good communication customer,50.00%,9,Mortgage
101,8/28/2020,8:32:44,No,No,No,Yes,No,No,No,improve customer service center hardly reach phone longer period reply email,50.00%,7,Mortgage
102,8/28/2020,8:53:31,No,No,No,Yes,Yes,No,No,lower existing new loan rate,50.00%,7,Mortgage
103,8/28/2020,9:19:17,No,No,No,Yes,No,No,No,low interest,50.00%,10,Mortgage
104,8/28/2020,9:46:43,No,No,No,Yes,Yes,No,No,improving adding service offered mobile apps online,50.00%,10,Mortgage
105,8/28/2020,10:06:59,No,No,No,Yes,Yes,No,No,always seek continuous improvement various service currently quite well meet need g mobile app better reward loyal long time customer real crowd playsr,95.80%,9,Mortgage
106,8/28/2020,10:07:01,No,Yes,No,Yes,Yes,No,Yes,online banking,50.00%,10,Mortgage
107,8/28/2020,10:49:35,No,No,No,Yes,No,No,No,feel thing rhb improve waiting time bank branch waiting time long,Sentiment Score,8,Mortgage
108,8/28/2020,11:14:30,No,No,No,No,Yes,No,No,make sure log loading long waiting,50.00%,10,Mortgage
109,8/28/2020,11:17:48,No,No,No,No,No,No,Yes,,,10,Mortgage
110,8/28/2020,13:36:33,No,No,No,Yes,No,No,No,improve wesbite,77.31%,8,Mortgage
111,8/28/2020,15:10:24,No,No,Yes,Yes,No,Yes,No,error,5.21%,7,Mortgage
112,8/28/2020,19:01:51,No,No,Yes,No,No,No,No,improve communication speed,90.79%,0,Mortgage
113,8/28/2020,19:46:02,Yes,Yes,Yes,No,No,Yes,No,nothing,26.53%,6,Mortgage
114,8/28/2020,20:28:17,No,No,No,Yes,No,No,No,keep benefit homeloan package intact,50.00%,10,Mortgage
115,8/28/2020,20:43:24,No,No,No,Yes,Yes,No,No,delay slow response reply mobile app,80.59%,4,Mortgage
116,8/28/2020,22:41:52,No,No,No,Yes,Yes,No,No,income opportunity storage,50.00%,9,Mortgage
117,8/28/2020,23:40:27,No,Yes,No,Yes,No,No,No,improve quality customer service personnel typically personnel call center assist customer based personal experience referred case personnel bank instead,98.23%,6,Mortgage
118,8/29/2020,12:46:45,No,No,No,Yes,No,No,No,think everyone looking benefit,96.65%,6,Mortgage
119,8/29/2020,22:58:14,No,No,No,Yes,No,No,No,rate competitive fis would certainly attract customer curent economic climate,50.00%,9,Mortgage
120,8/30/2020,9:01:24,No,No,Yes,No,No,Yes,No,reduce interes rate,50.00%,10,Mortgage
121,8/30/2020,10:24:48,No,No,No,Yes,No,No,No,clear statement record reminder loan repayment,95.42%,9,Mortgage
122,8/31/2020,13:49:23,No,No,Yes,No,No,No,No,lowering house interest following current blr,50.00%,3,Mortgage
123,09-01-20,10:06:40,No,No,No,Yes,Yes,No,No,good,21.99%,10,Mortgage
124,8/27/2020,12:36:27,No,No,No,Yes,No,No,No,improve user interface internet banking website,84.39%,9,HP
125,8/27/2020,12:37:59,No,No,No,Yes,No,No,No,better deal humanising digital platform user friendly product,98.33%,10,HP
126,8/27/2020,12:40:50,No,Yes,Yes,Yes,No,No,No,reaching communicating client via mobile app messenger inquiry u save time everyone,50.00%,9,HP
127,8/27/2020,13:18:32,No,No,No,Yes,No,No,No,update mobile number need synchronized requested change mobile number branch apparently took effect bank saving account credit card account,93.48%,8,HP
128,8/27/2020,13:32:11,No,Yes,No,No,No,No,No,transaction notified via sm,94.03%,7,HP
129,8/27/2020,13:40:26,No,No,No,Yes,No,No,No,help reduce monthly installment,50.00%,10,HP
130,8/27/2020,13:43:58,No,Yes,Yes,No,Yes,No,Yes,keep good service keep existing branch,90.56%,10,HP
131,8/27/2020,13:54:14,No,Yes,Yes,Yes,Yes,No,Yes,always help customer loan repayment problem,16.13%,10,HP
132,8/27/2020,14:26:09,No,No,Yes,No,No,No,Yes,continue provide best service customer,93.73%,10,HP
133,27-08-20,,No,No,No,Yes,No,No,Yes,value,93.47%,8,HP
134,8/27/2020,15:58:08,No,No,No,No,Yes,No,No,customer lending lower interest,50.00%,9,HP
135,8/27/2020,15:58:17,No,No,No,No,No,No,Yes,rhb call suspicious transaction gone,17.73%,10,HP
136,8/27/2020,16:11:34,No,No,Yes,No,No,Yes,No,ok service gorgeous,82.18%,10,HP
137,8/27/2020,17:33:10,No,No,No,Yes,No,No,No,simplify matter related financial loan problem,94.39%,9,HP
138,8/27/2020,18:10:21,No,No,No,Yes,Yes,No,Yes,offer lower interest rate,50.00%,9,HP
139,8/27/2020,18:15:58,No,No,No,Yes,No,No,No,counter branch good org lawa sour woven,19.88%,4,HP
140,8/27/2020,19:14:37,No,No,Yes,Yes,Yes,No,Yes,remain,96.99%,0,HP
141,8/27/2020,19:26:44,No,No,No,Yes,Yes,No,Yes,lower interes rate,50.00%,10,HP
142,8/27/2020,19:35:49,No,No,Yes,No,No,No,No,give souvenior customer rhb purchaes product,50.00%,10,HP
143,8/27/2020,19:50:54,No,No,No,Yes,No,No,No,continue use standard reply customer enquiry get minus ten,19.03%,1,HP
144,8/27/2020,20:28:46,No,No,No,Yes,No,No,No,internet rise,84.95%,10,HP
145,8/27/2020,21:38:09,No,Yes,Yes,No,No,Yes,Yes,lower interest rate,50.00%,1,HP
146,8/27/2020,22:18:55,No,No,No,Yes,Yes,No,No,,,10,HP
147,8/27/2020,23:12:43,No,Yes,No,No,No,No,Yes,customer always right,50.00%,10,HP
148,8/28/2020,4:12:20,No,No,No,Yes,No,No,No,interest rate low,50.00%,2,HP
149,8/28/2020,7:00:15,No,No,Yes,No,Yes,No,No,continue provide updated information preferred,95.60%,10,HP
150,8/28/2020,7:11:12,No,No,Yes,Yes,Yes,No,No,branch service slow,7.16%,5,HP
151,8/28/2020,7:58:20,No,No,Yes,No,No,No,No,send statement info information related loan account quickly quickly,75.05%,10,HP
152,8/28/2020,8:13:08,No,No,Yes,No,No,No,No,hp service ok credit card previously feel like liaster ah long bank staff always call asking payment even cant sleep well think ok maybe covid banker settlement plan good bank honestle offer plan b customer option please push know debt please consider,50.00%,8,HP
153,8/28/2020,8:17:27,No,No,No,Yes,No,No,No,easy use app counter service bad air white branch kuantan disorganized numbering system waiting notting sop shown counter procedure,3.12%,10,HP
154,8/28/2020,8:51:41,Yes,Yes,No,Yes,No,No,No,offer rebate discount renewal motor insurance spouse immediate family member improve customer service call,50.00%,8,HP
155,8/28/2020,9:22:22,No,No,No,No,No,No,Yes,provides lower percentage interest hire purchase borrower,94.59%,8,HP
156,8/28/2020,9:35:42,No,No,No,No,No,Yes,Yes,fpx payment bank rhb product especially islamic vehicle financing product via online customer convention branch know whether payment rhb islamic made via online banking,15.57%,8,HP
157,8/28/2020,10:03:59,No,No,No,Yes,No,No,No,already great,89.62%,9,HP
158,8/28/2020,10:15:35,No,Yes,No,No,No,No,No,,,8,HP
159,8/28/2020,10:23:02,No,No,No,Yes,No,No,No,maintain good performance,93.24%,10,HP
160,8/28/2020,11:17:03,No,No,No,No,No,No,Yes,rebate,88.53%,6,HP
161,8/28/2020,12:02:33,No,No,Yes,No,No,No,Yes,satisfactory quality customer friendly service,97.21%,8,HP
162,8/28/2020,12:16:10,Yes,No,Yes,Yes,No,No,No,customer indeed rhb regular customer simplifying doubtainties interest rate le customer,50.00%,8,HP
163,8/28/2020,13:16:27,Yes,No,No,No,No,Yes,No,banking experience meet customer desired time frame trusted transaction service needed,90.07%,8,HP
164,8/28/2020,13:37:15,No,No,No,Yes,No,No,No,facility,50.00%,10,HP
165,8/28/2020,16:43:05,No,No,No,Yes,No,No,No,experienced lot difficulty last year using rhb internet banking example transaction unsuccessful message came saying balance sufficient function pay pba pin bill point use rhb online banking pay housing loan personal loan bank go atm pay installment online transaction certain bank citibank public bank credit card payment unsuccessful unacceptable reason,2.93%,7,HP
166,8/28/2020,19:29:26,No,No,Yes,No,No,No,No,maintain friendly service counter,84.73%,10,HP
167,8/28/2020,20:17:43,No,No,No,No,No,No,Yes,customer friendly,91.41%,8,HP
168,8/28/2020,20:57:36,No,Yes,No,No,No,No,No,removing good product,76.60%,10,HP
169,8/28/2020,21:41:01,No,No,Yes,No,No,No,No,ensure service staff always customer friendly,93.54%,9,HP
170,8/29/2020,17:39:04,No,Yes,Yes,No,No,No,Yes,good service,97.21%,10,HP
171,8/29/2020,21:35:10,No,No,Yes,Yes,Yes,No,No,service must excellent past,90.27%,1,HP
172,8/30/2020,12:59:55,No,No,No,Yes,No,No,No,attractive offer,92.40%,9,HP
173,8/30/2020,19:37:55,No,No,No,Yes,No,No,No,staff friendly,76.77%,9,HP
174,8/27/2020,14:56:33,No,No,No,Yes,Yes,No,Yes,continue monotarium,50.00%,10,PF
175,8/27/2020,14:57:03,No,Yes,Yes,Yes,No,No,Yes,make promotion,80.54%,4,PF
176,8/27/2020,15:01:25,No,No,No,Yes,No,No,No,maintain good service quality,98.64%,10,PF
177,8/27/2020,15:06:26,Yes,No,No,Yes,Yes,No,Yes,customer call hotline please jaw ye,50.00%,0,PF
178,8/27/2020,15:10:05,No,Yes,No,Yes,No,No,No,ok,50.00%,9,PF
179,8/27/2020,15:18:55,No,No,Yes,No,No,No,No,give loan approval simple term,50.00%,10,PF
180,8/27/2020,15:25:34,No,No,No,Yes,No,No,No,change source debt collection team team call time day customer even payment late week irritated annoying,85.85%,6,PF
181,8/27/2020,16:06:47,No,No,No,Yes,No,No,No,simplify application loan,50.00%,8,PF
182,8/27/2020,16:22:00,No,No,No,No,No,No,Yes,waiting time possible,50.00%,8,PF
183,8/27/2020,16:32:09,No,No,Yes,Yes,Yes,No,Yes,give coz think,94.28%,10,PF
184,8/27/2020,17:06:22,Yes,No,No,No,No,No,Yes,trying log online banking keep asking register atm atm refuse let key phone number keep asking go counter working time convenient go working hour,50.00%,4,PF
185,8/27/2020,18:07:38,No,No,No,Yes,No,No,Yes,apply moratarium march definitely return make director addition continuing introduce rhb people friendly bank believed together difficulty,92.64%,10,PF
186,8/27/2020,18:55:53,No,Yes,No,Yes,Yes,No,Yes,call center every time call call center take long time,24.62%,9,PF
187,8/27/2020,20:36:20,No,No,Yes,Yes,Yes,No,Yes,update mobile banking application mobile easier move money account without update favourite list,50.00%,9,PF
188,8/27/2020,20:41:42,No,No,No,Yes,Yes,No,No,simplify approval,50.00%,8,PF
189,8/27/2020,20:44:58,No,Yes,No,Yes,No,No,No,customer service call easy answer,96.07%,8,PF
190,8/27/2020,21:48:01,No,No,Yes,No,No,No,No,respond,3.88%,7,PF
191,8/27/2020,22:08:24,No,No,No,No,No,No,Yes,application requirement considered easy opening account client branch accordance place residence,22.75%,9,PF
192,8/27/2020,22:34:44,No,No,Yes,No,No,No,No,best already,95.19%,0,PF
193,8/28/2020,7:33:23,No,No,No,No,Yes,No,Yes,yes,81.99%,8,PF
194,8/28/2020,7:49:29,No,No,Yes,Yes,No,Yes,No,always update current interest rate bank bank rate high,50.00%,7,PF
195,8/28/2020,7:58:45,No,Yes,Yes,No,No,No,No,bank internet provides variety service addition contest depositor,50.00%,8,PF
196,8/28/2020,8:01:46,No,No,No,No,No,No,Yes,service,95.66%,10,PF
197,8/28/2020,8:02:23,No,No,No,Yes,No,No,No,comment,50.00%,10,PF
198,8/28/2020,9:09:31,Yes,No,Yes,No,No,No,Yes,maintain customer friendly service,81.44%,10,PF
199,8/28/2020,10:12:11,No,No,No,Yes,Yes,No,Yes,need improvement apps seems running normal hardly found dfficult past month especially apps etc payment banking transfer need thru website,78.52%,10,PF
200,8/28/2020,10:13:33,No,Yes,Yes,Yes,Yes,No,Yes,officer rhb johor jaya smile serving customer fact scolded,77.75%,7,PF
201,8/28/2020,10:19:10,No,Yes,No,No,No,Yes,Yes,user friendly app,96.99%,9,PF
202,8/28/2020,10:20:29,No,No,No,Yes,Yes,No,Yes,provide excellent service follow customer resolve query urgency life report loss card fraudulent happened customer,50.00%,10,PF
203,8/28/2020,10:31:00,No,No,Yes,No,No,No,Yes,sm update status payment,19.37%,10,PF
204,8/28/2020,11:01:39,No,No,No,Yes,No,No,Yes,fast friendly,89.38%,10,PF
205,8/28/2020,11:06:25,No,No,Yes,No,No,No,No,maintain good attitude,96.87%,10,PF
206,8/28/2020,12:51:11,No,Yes,Yes,Yes,Yes,Yes,Yes,good service provide support customer strive seek new relevant way growing customer know customer need yes,99.84%,10,PF
207,8/28/2020,14:31:45,No,No,No,Yes,No,No,No,response customer complaint nii many month complaint wrong tranfer rm entertained rhb whereas made complaint complait rhb unit referred kcm mall kuantan branch x could finish ask original fraud account opened jerantut,50.00%,0,PF
208,8/28/2020,14:52:04,No,No,No,Yes,No,No,No,corporate service,50.00%,3,PF
209,8/28/2020,15:51:35,No,No,No,Yes,No,No,Yes,promotion benefit customer,89.14%,9,PF
210,8/29/2020,2:26:14,Yes,Yes,Yes,Yes,Yes,Yes,Yes,keep response regarding personal loan housing loan etc,50.00%,10,PF
211,8/29/2020,9:12:38,No,No,Yes,Yes,Yes,No,Yes,baking internet service hr online customer service live chat low lending rate bank,50.00%,10,PF
212,09-02-20,12:22:12,No,No,No,Yes,No,Yes,No,relationship manager serve premier customer even fd need itelves eiter branch internet banking never update customer news changed rm however improvement,50.00%,3,FD
213,09-03-20,8:59:55,No,No,No,Yes,No,No,No,competitive fd rate gold investment account,96.29%,8,FD
214,09-09-20,1:02:39,No,No,Yes,No,No,No,No,maintain customer premium status ratch downgrade apply annual fee customer,92.94%,8,FD
215,09-09-20,1:11:53,No,No,No,No,Yes,No,Yes,increase use chinese facilah national english language,50.00%,8,FD
216,09-09-20,1:31:25,No,No,No,Yes,No,No,No,rate higher transaction limit go,50.00%,8,FD
217,09-09-20,1:43:36,No,No,No,Yes,Yes,No,No,personal touch term customer relationship mamagement,50.00%,8,FD
218,09-09-20,1:58:24,No,No,No,Yes,No,No,No,upgrade internet banking user friendly make numerous comment feedback yet improvement bank statement available download month available month online transfer via mobile even terrible new transferee favorite list,76.87%,1,FD
219,09-09-20,2:00:04,No,No,No,Yes,No,No,No,better rate,97.21%,8,FD
220,09-09-20,2:01:10,No,No,Yes,Yes,No,Yes,No,comment,50.00%,8,FD
221,09-09-20,2:47:19,No,Yes,No,No,No,No,No,easy access service,90.52%,7,FD
222,09-09-20,2:59:12,No,No,No,Yes,No,No,No,better star product example fd best interest rate quarterly basis compare bank,99.65%,9,FD
223,09-09-20,3:24:13,No,No,No,Yes,No,No,No,navigation,99.41%,8,FD
224,09-09-20,3:42:43,No,No,No,Yes,No,No,No,special rate,5.45%,9,FD
225,09-09-20,5:24:06,No,No,No,Yes,No,No,No,keep higher return investment rate,89.95%,10,FD
226,09-09-20,5:30:52,No,No,No,Yes,No,No,No,nothing,26.53%,10,FD
